,no_of_items,variation,total,paid,change
0,1,1,90.0,100.0,10.0
1,1,1,90.0,500.0,410.0
2,3,1,270.0,300.0,30.0
3,3,1,137.0,200.0,63.0
4,1,1,75.0,80.0,5.0
5,22,3,5611.0,5611.0,0.0
6,1,1,55.0,100.0,45.0
7,32,3,7955.0,7955.0,0.0
8,1,1,780.0,1000.0,220.0
9,1,1,235.0,500.0,265.0
10,33,6,13005.0,13001.0,0.0
11,2,1,431.0,500.0,68.0
12,3,1,1000.0,1000.0,0.0
13,5,2,242.0,500.0,258.0
14,1,1,2420.0,2460.0,0.0
15,12,2,4926.0,4926.0,0.0
16,4,2,5439.0,5439.0,0.0
17,5,1,8110.0,8110.0,0.0
18,3,1,221.0,300.0,79.0
19,2,1,584.0,1000.0,496.0
20,5,1,850.0,850.0,0.0
21,1,1,90.0,500.0,410.0
22,1,1,175.0,205.0,30.0
23,1,1,170.0,200.0,30.0
24,1,1,55.0,60.0,5.0
25,4,1,680.0,1670.0,970.0
26,9,3,1245.0,1500.0,255.0
27,1,1,800.0,1000.0,200.0
28,1,1,95.0,100.0,5.0
29,6,2,736.0,1000.0,263.0
30,1,1,58.0,70.0,12.0
31,10,4,2903.0,2903.0,0.0
32,7,2,961.0,1000.0,38.0
33,9,2,907.0,1000.0,93.0
34,2,1,202.0,205.0,3.0
35,3,1,35.0,50.0,15.0
36,1,1,45.0,1000.0,955.0
37,1,1,360.0,1000.0,640.0
38,4,2,321.0,325.0,4.0
39,2,1,253.0,1000.0,747.0
40,3,2,345.0,400.0,55.0
41,1,1,60.0,1000.0,940.0
42,1,1,35.0,35.0,0.0
43,2,2,164.0,200.0,36.0
44,4,2,367.0,1000.0,633.0
45,2,1,330.0,500.0,170.0
46,1,1,5.0,5.0,0.0
47,2,2,239.0,500.0,261.0
48,3,1,638.0,650.0,14.0
49,3,1,720.0,1000.0,280.0
50,3,2,357.0,400.0,43.0
51,3,2,412.0,500.0,88.0
52,1,1,350.0,350.0,0.0
53,4,1,199.0,200.0,1.0
54,1,1,46.0,50.0,4.0
55,7,4,542.0,1000.0,458.0
56,2,1,110.0,110.0,0.0
57,1,1,45.0,100.0,55.0
58,2,2,260.0,270.0,10.0
59,1,1,120.0,500.0,380.0
60,1,1,1900.0,2000.0,100.0
61,2,1,223.0,1000.0,777.0
62,5,3,220.0,300.0,80.0
63,2,1,351.0,400.0,49.0
64,8,1,416.0,500.0,84.0
65,2,1,119.0,200.0,81.0
66,1,1,95.0,95.0,0.0
67,3,2,580.0,1000.0,420.0
68,14,3,2183.0,2183.0,0.0
69,1,1,60.0,200.0,140.0
70,2,1,360.0,500.0,140.0
71,13,2,2657.0,3000.0,343.0
72,2,1,136.0,200.0,64.0
73,2,2,1724.0,2000.0,276.0
74,1,1,29.0,29.0,0.0
75,5,2,200.0,200.0,0.0
76,1,1,55.0,100.0,45.0
77,3,3,340.0,500.0,160.0
78,1,1,71.0,75.0,4.0
79,1,1,35.0,100.0,65.0
80,1,1,70.0,500.0,430.0
81,2,1,70.0,100.0,30.0
82,1,1,50.0,100.0,50.0
83,2,2,120.0,200.0,80.0
84,1,1,102.0,105.0,3.0
85,1,1,60.0,100.0,40.0
86,2,1,155.0,200.0,45.0
87,2,2,100.0,200.0,100.0
88,1,1,25.0,100.0,75.0
89,2,1,100.0,200.0,100.0
90,1,1,60.0,100.0,40.0
91,2,1,88.0,100.0,12.0
92,1,1,60.0,100.0,40.0
93,3,3,245.0,1000.0,755.0
94,1,1,50.0,50.0,0.0
95,1,1,80.0,100.0,20.0
96,1,1,40.0,50.0,10.0
97,1,1,40.0,40.0,0.0
98,3,2,125.0,125.0,0.0
99,2,2,180.0,200.0,20.0
100,1,1,85.0,100.0,15.0
101,6,3,3585.0,3585.0,0.0
